,District,Party,Total 2020,Winner 2016,Median Age (years),"Citizen, 18 and over population",White (percent),Black or African American (percent),American Indian and Alaska Native (percent),Asian (percent),Native Hawaiian and Other Pacific Islander (percent),Other (percent),Two or more races (percent),Postsecondary (percent),Secondary or less (percent),Median Household Income (dollars)
398,UT-02,1,370162,1,33.4,534997,83.4,1.5,1.2,3.1,1.6,6.3,3.0,66.76319131899385,33.23680868100616,69852
399,UT-03,1,374671,1,28.7,523751,90.3,0.7,1.5,1.9,0.8,1.3,3.4,74.64490914131339,25.355090858686612,78931
400,UT-04,1,384026,1,31.5,545663,84.5,1.5,0.6,2.8,1.2,6.0,3.6,65.29263089122048,34.70736910877952,80918
401,VA-01,1,453853,1,39.3,592356,72.4,16.4,0.2,3.6,0.0,3.2,4.2,64.28606561408687,35.713934385913134,90181
402,VA-02,0,362346,1,36.9,553005,67.2,19.3,0.3,6.2,0.1,2.2,4.9,69.16272117792197,30.837278822078034,74704
403,VA-03,0,347932,0,35.1,567916,43.3,47.4,0.1,2.6,0.1,2.0,4.4,59.63798047294785,40.36201952705215,56455
404,VA-04,0,398796,0,37.8,589257,51.3,41.1,0.3,1.7,0.0,2.2,3.4,58.941654335650796,41.0583456643492,60407
405,VA-05,1,405973,1,43.2,579655,74.9,19.4,0.4,1.7,0.0,0.7,2.8,57.8872256968782,42.112774303121796,57615
406,VA-06,1,386961,1,39.7,585724,82.2,11.9,0.3,1.5,0.1,1.1,2.9,55.462376501031954,44.53762349896805,59939
407,VA-07,0,458367,1,39.8,579534,69.0,18.0,0.2,5.4,0.1,4.0,3.3,65.42872553104219,34.57127446895781,81364
408,VA-08,0,401441,0,36.5,535969,62.9,14.1,0.3,12.2,0.0,5.8,4.6,78.97268679987226,21.027313200127736,111627
409,VA-09,1,347822,1,43.7,567777,90.8,5.5,0.2,1.5,0.1,0.4,1.5,53.22061470903472,46.77938529096528,46909
410,VA-10,0,478159,0,38.8,563408,69.1,8.0,0.3,15.6,0.1,2.5,4.5,75.8915249946601,24.108475005339894,132226
411,VA-11,0,399109,0,37.0,512022,55.5,13.9,0.5,18.7,0.2,7.0,4.4,76.3572440814289,23.6427559185711,118099
412,VT-AL,0,365486,0,42.8,498705,93.8,1.5,0.5,1.4,0.1,0.3,2.5,63.45590972317458,36.54409027682542,63001
413,WA-01,0,435779,0,38.8,533647,75.1,1.5,1.1,13.0,0.3,3.7,5.3,73.04598391163405,26.95401608836595,106190
414,WA-02,0,414020,0,38.9,566650,76.1,3.3,1.7,9.5,0.4,3.5,5.4,68.47638142435602,31.523618575643976,75095
415,WA-03,1,423462,1,39.8,556214,85.9,1.6,0.7,3.2,0.6,2.1,5.8,62.28344560023643,37.71655439976357,70936
416,WA-04,1,309502,1,34.4,446137,75.2,1.4,2.7,1.4,0.3,15.2,3.8,51.57012794761236,48.42987205238764,59872
417,WA-05,1,406614,1,38.2,562834,87.3,1.7,1.7,2.5,0.5,1.6,4.7,68.28040459442984,31.719595405570168,57837
418,WA-06,0,425315,0,41.9,567917,80.8,4.0,2.1,3.8,0.5,1.8,7.0,67.28778220836409,32.71221779163591,72169
419,WA-07,0,478306,0,35.8,609219,69.7,5.0,0.5,14.7,0.4,2.9,6.8,82.73991852946556,17.260081470534434,100991
420,WA-08,0,419669,0,38.3,524468,72.4,3.1,1.2,9.6,1.0,6.9,5.8,66.11960700407306,33.88039299592694,95968
421,WA-09,0,361921,0,36.3,481044,49.2,12.0,0.7,23.9,1.1,6.5,6.7,70.61451631602736,29.38548368397264,90353
422,WA-10,0,385791,0,37.0,560905,71.3,6.4,1.4,7.3,1.6,3.8,8.1,62.82439011305876,37.175609886941245,75114
423,WI-01,1,409363,1,40.9,540501,86.9,6.0,0.3,2.2,0.1,2.1,2.4,60.9108868408585,39.0891131591415,68695
424,WI-02,0,466777,0,37.2,579336,85.9,4.4,0.4,4.5,0.1,1.9,2.8,71.30218535098706,28.697814649012948,72036
425,WI-03,0,393809,1,39.2,565661,93.2,1.5,0.5,2.5,0.1,0.8,1.5,60.31193066042086,39.688069339579144,59426
426,WI-04,0,317863,0,32.8,487730,50.8,33.7,0.7,4.0,0.0,7.1,3.7,57.03399898600843,42.96600101399157,47421
427,WI-05,1,450097,1,42.5,570227,90.5,2.4,0.3,3.1,0.1,1.5,2.2,67.30365842173306,32.69634157826694,77386
428,WI-06,1,409886,1,42.0,553146,91.6,2.0,0.5,2.6,0.2,1.2,1.9,58.801771487950916,41.198228512049084,63251
429,WI-07,1,420340,1,45.0,556088,93.2,0.8,2.1,1.7,0.1,0.3,1.9,57.02637011327894,42.97362988672106,60706
430,WI-08,1,421811,1,40.8,560199,89.0,1.7,2.6,2.5,0.0,1.9,2.3,58.66986194175843,41.33013805824157,65346
431,WV-01,1,270510,1,42.3,482965,93.6,2.5,0.3,0.9,0.0,0.7,1.8,50.744239565290385,49.255760434709615,51480
432,WV-02,1,282556,1,42.3,485281,91.8,4.4,0.2,0.9,0.0,0.4,2.3,48.39589123374971,51.60410876625029,52166
433,WV-03,1,241586,1,44.2,452043,93.9,4.1,0.0,0.5,0.0,0.1,1.3,41.763816592693146,58.236183407306854,42553
434,WY-AL,1,275026,1,38.1,434852,90.9,1.2,2.4,0.8,0.1,1.9,2.7,63.237510403311056,36.76248959668894,65003
